"","x"
"619","건즈더듀얼"
"620","레이싱게임"
"621","포켓몬"
"622","엑스박스"
"623","오버워치"
"624","나이트엘프"
"625","퀘스트"
"626","화투게임"
"627","스페셜포스"
"628","디지몬알피지"
"629","몬스터"
"630","FPS, 슈팅게임"
"631","GTA"
"632","인디게임"
"633","퀘스트"
"634","닌텐도DS"
"635","리그오브레전드"
"636","메달오브아너"
"637","닌텐도Wii"
"638","배틀그라운드"
"639","액션, 어드벤처..."
"640","지역"
"641","인디게임"
"642","마인크래프트"
"643","플레이스테이션"
"644","액션, 어드벤처..."
"645","인디게임"
"646","스포츠게임"
"647","게임 제작, 기획"
"648","롤플레잉게임"
"649","게임사, 게임사이..."
"650","인디게임"
"651","액션, 어드벤처..."
"652","몬스터"
"653","오버워치"
"654","나이트엘프"
"655","도적"
"656","모바일게임"
"657","카드게임"
"658","캐릭터"
"659","콜오브듀티"
"660","레인보우식스"
"661","NBA시리즈"
"662","캐릭터"
"663","마인크래프트"
"664","메달오브아너"
"665","모바일게임"
"666","배틀필드"
"667","FPS, 슈팅게임"
"668","포켓몬"
"669","리니지2"
"670","게임리그, 게이머"
"671","지역"
"672","닌텐도DS"
"673","인디게임"
"674","캐릭터"
"675","오버워치"
"676","오버워치"
"677","롤플레잉게임"
"678","게임리그, 게이머"
"679","게임사, 게임사이..."
"680","게임리그, 게이머"
"681","시뮬레이션게임"
"682","지역"
"683","게임리그, 게이머"
"684","시뮬레이션게임"
"685","아스가르드"
"686","리니지2"
"687","게임 제작, 기획"
"688","나이트엘프"
"689","비디오게임"
"690","모바일게임"
"691","레이싱게임"
"692","거상실행"
"693","리그오브레전드"
"694","오버워치"
"695","포켓몬"
"696","스타크래프트"
"697","풋볼매니저"
"698","워크래프트"
"699","FPS, 슈팅게임"
"700","리그오브레전드"
"701","GTA"
"702","나이트엘프"
"703","건즈더듀얼"
"704","캐릭터"
"705","바람의나라실행"
"706","휴먼"
"707","마인크래프트"
"708","풋볼매니저"
"709","장기"
"710","모바일게임"
"711","플레이스테이션"
"712","오크"
"713","게임리그, 게이머"
"714","게임리그, 게이머"
"715","피파시리즈"
"716","레이싱게임"
"717","게임사, 게임사이..."
"718","액션, 어드벤처..."
"719","GTA"
"720","인디게임"
"721","건즈더듀얼"
"722","마인크래프트"
"723","화투게임"
"724","건즈더듀얼"
"725","게임리그, 게이머"
"726","삼국지"
"727","액션, 어드벤처..."
"728","리그오브레전드"
"729","스타크래프트"
"730","시뮬레이션게임"
"731","지역"
"732","마인크래프트"
"733","건즈더듀얼"
"734","건즈더듀얼"
"735","닌텐도DS"
"736","시뮬레이션게임"
"737","거상실행"
"738","건즈더듀얼"
"739","액션, 어드벤처..."
"740","슈퍼마리오"
"741","바이오해저드"
"742","피파시리즈"
"743","캐릭터"
"744","몬스터"
"745","캐릭터"
"746","모바일게임"
"747","모바일게임"
"748","오버워치"
"749","시티레이서"
"750","휴먼"
"751","메달오브아너"
"752","메달오브아너"
"753","마인크래프트"
"754","게임사, 게임사이..."
"755","게임 제작, 기획"
"756","플레이스테이션"
"757","액션, 어드벤처..."
"758","심즈"
"759","테트리스"
"760","콜오브듀티"
"761","FPS, 슈팅게임"
"762","액션, 어드벤처..."
"763","테트리스"
"764","마인크래프트"
"765","롤플레잉게임"
"766","게임리그, 게이머"
"767","몬스터"
"768","게임사, 게임사이..."
"769","지역"
"770","리니지2"
"771","오버워치"
"772","게임사, 게임사이..."
"773","바람의나라"
"774","모바일게임"
"775","엘소드"
"776","오버워치"
"777","인디게임"
"778","배틀그라운드"
"779","게임사, 게임사이..."
"780","심즈"
"781","피파시리즈"
"782","지역"
"783","피파시리즈"
"784","포켓몬"
"785","마인크래프트"
"786","카운터스트라이크"
"787","닌텐도DS"
"788","심즈"
"789","마인크래프트"
"790","모바일게임"
"791","리그오브레전드"
"792","퀘스트"
"793","게임사, 게임사이..."
"794","마법사"
"795","월드오브워크래프..."
"796","마인크래프트"
"797","오크"
"798","오버워치"
"799","게임리그, 게이머"
"800","오버워치"
"801","캐릭터"
"802","시뮬레이션게임"
"803","액션, 어드벤처..."
"804","스도쿠"
"805","메이플스토리"
"806","캐릭터"
"807","겟앰프드"
"808","리그오브레전드"
"809","리니지2"
"810","뮤온라인"
"811","오디션"
"812","GTA"
"813","인디게임"
"814","롤플레잉게임"
"815","액션, 어드벤처..."
"816","열혈강호온라인"
"817","리그오브레전드"
"818","마인크래프트"
"819","비디오게임"
"820","나이트엘프"
"821","캐릭터"
"822","닌텐도Wii"
"823","모바일게임"
"824","건즈더듀얼"
"825","리그오브레전드"
"826","인디게임"
"827","마인크래프트"
"828","아이온"
"829","게임사, 게임사이..."
"830","레이싱게임"
"831","마인크래프트"
"832","리그오브레전드"
"833","캐릭터"
"834","오버워치"
"835","액션, 어드벤처..."
"836","마인크래프트"
"837","메달오브아너"
"838","오버워치"
"839","오버워치"
"840","캐릭터"
"841","플레이스테이션"
"842","롤플레잉게임"
"843","리그오브레전드"
"844","플레이스테이션"
"845","롤플레잉게임"
"846","모바일게임"
"847","철권"
"848","모바일게임"
"849","FPS, 슈팅게임"
"850","아이템"
"851","겟앰프드"
"852","메달오브아너"
"853","배틀필드"
"854","메달오브아너"
"855","닌텐도Wii"
"856","플레이스테이션"
"857","메달오브아너"
"858","열혈강호온라인"
"859","게임리그, 게이머"
"860","오버워치"
"861","롤플레잉게임"
"862","닌텐도DS"
"863","건즈더듀얼"
"864","롤플레잉게임"
"865","닌텐도DS"
"866","테트리스"
"867","액션, 어드벤처..."
"868","심즈"
"869","카드게임"
"870","레이싱게임"
"871","닌텐도Wii"
"872","마인크래프트"
"873","메이플스토리실행"
"874","나이트온라인"
"875","커맨드앤컨커"
"876","리그오브레전드"
"877","액션, 어드벤처..."
"878","아이템"
"879","액션, 어드벤처..."
"880","닌텐도Wii"
"881","인디게임"
"882","아이템"
"883","액션, 어드벤처..."
"884","오버워치"
"885","액션, 어드벤처..."
"886","모바일게임"
"887","던전앤파이터실행"
"888","보드, 퍼즐 게임"
"889","시뮬레이션게임"
"890","오버워치"
"891","시뮬레이션게임"
"892","포켓몬"
"893","몬스터"
"894","액션, 어드벤처..."
"895","보드, 퍼즐 게임"
"896","심즈"
"897","인디게임"
"898","붉은보석"
"899","인디게임"
"900","인디게임"
"901","장기"
"902","피파시리즈"
"903","엑스박스"
"904","아이템"
"905","플레이스테이션"
"906","인디게임"
"907","오버워치"
"908","크로노스"
"909","리니지2"
"910","게임리그, 게이머"
"911","플레이스테이션"
"912","아이템"
"913","아이템"
"914","건즈더듀얼"
"915","심즈"
"916","게임사, 게임사이..."
"917","인디게임"
"918","NBA시리즈"
"919","나이트온라인"
"920","모바일게임"
"921","액션, 어드벤처..."
"922","리니지2"
"923","테트리스"
"924","액션, 어드벤처..."
"925","모바일게임"
"926","카트라이더"
"927","닌텐도DS"
"928","건즈더듀얼"
"929","리니지2"
"930","마인크래프트"
"931","심즈"
"932","몬스터"
"933","NBA시리즈"
"934","엑스박스"
"935","붉은보석"
"936","마인크래프트"
"937","닌텐도Wii"
"938","알투비트"
"939","캐릭터"
"940","액션, 어드벤처..."
"941","피파시리즈"
"942","거상실행"
"943","피파시리즈"
"944","플레이스테이션"
"945","게임사, 게임사이..."
"946","지역"
"947","마인크래프트"
"948","모바일게임"
"949","건즈더듀얼"
"950","피파시리즈"
"951","롤플레잉게임"
"952","게임사, 게임사이..."
"953","화투게임"
"954","던전앤파이터"
"955","롤플레잉게임"
"956","마인크래프트"
"957","인디게임"
"958","액션, 어드벤처..."
"959","인디게임"
"960","심즈"
"961","닌텐도DS"
"962","지역"
"963","심즈"
"964","모바일게임"
"965","메달오브아너"
"966","게임 제작, 기획"
"967","리그오브레전드"
"968","FPS, 슈팅게임"
"969","심즈"
"970","닌텐도DS"
"971","FPS, 슈팅게임"
"972","퀘스트"
"973","마인크래프트"
"974","게임리그, 게이머"
"975","모바일게임"
"976","캐릭터"
"977","GTA"
"978","오버워치"
"979","모바일게임"
"980","모바일게임"
"981","인디게임"
"982","포켓몬"
"983","심즈"
"984","롤플레잉게임"
"985","바이오해저드"
"986","닌텐도Wii"
"987","바둑"
"988","포켓몬"
"989","휴먼"
"990","마인크래프트"
"991","리니지2"
"992","포켓몬"
"993","액션, 어드벤처..."
"994","인디게임"
"995","휴먼"
"996","리그오브레전드"
"997","건즈더듀얼"
"998","나이트엘프"
"999","디아블로"
"1000","시뮬레이션게임"
"1001","삼국지"
"1002","롤플레잉게임"
"1003","아이템"
"1004","마인크래프트"
"1005","오버워치"
"1006","롤플레잉게임"
"1007","아이템"
"1008","아이템"
"1009","플레이스테이션"
"1010","마인크래프트"
"1011","게임 제작, 기획"
"1012","피파시리즈"
"1013","피파시리즈"
"1014","화투게임"
"1015","플레이스테이션"
"1016","스타크래프트"
"1017","배틀필드"
"1018","엑스박스"
"1019","오버워치"
"1020","게임사, 게임사이..."
"1021","인디게임"
"1022","마인크래프트"
"1023","액션, 어드벤처..."
"1024","FPS, 슈팅게임"
"1025","게임사, 게임사이..."
"1026","롤플레잉게임"
"1027","나이트온라인"
"1028","게임사, 게임사이..."
"1029","모바일게임"
"1030","나이트엘프"
"1031","캐릭터"
"1032","리그오브레전드"
"1033","리니지2"
"1034","닌텐도Wii"
"1035","게임리그, 게이머"
"1036","액션, 어드벤처..."
"1037","붉은보석"
"1038","게임리그, 게이머"
"1039","오버워치"
"1040","포켓몬"
"1041","보드, 퍼즐 게임"
"1042","오버워치"
"1043","인디게임"
"1044","월드오브워크래프..."
"1045","메달오브아너"
"1046","풋볼매니저"
"1047","게임사, 게임사이..."
"1048","닌텐도Wii"
"1049","시뮬레이션게임"
"1050","심즈"
"1051","워크래프트"
"1052","포켓몬"
"1053","롤플레잉게임"
"1054","닌텐도DS"
"1055","나이트엘프"
"1056","게임사, 게임사이..."
"1057","마인크래프트"
"1058","오버워치"
"1059","건즈더듀얼"
"1060","닌텐도Wii"
"1061","게임사, 게임사이..."
"1062","건즈더듀얼"
"1063","건즈더듀얼"
"1064","리그오브레전드"
"1065","리그오브레전드"
"1066","롤플레잉게임"
"1067","스도쿠"
"1068","리그오브레전드"
"1069","콜오브듀티"
"1070","몬스터"
"1071","인디게임"
"1072","액션, 어드벤처..."
"1073","리그오브레전드"
"1074","레이싱게임"
"1075","시뮬레이션게임"
"1076","모바일게임"
"1077","닌텐도DS"
"1078","아이온"
"1079","오버워치"
"1080","심즈"
"1081","모바일게임"
"1082","롤플레잉게임"
"1083","모바일게임"
"1084","게임리그, 게이머"
"1085","액션, 어드벤처..."
"1086","비디오게임"
"1087","메달오브아너"
"1088","액션, 어드벤처..."
"1089","닌텐도DS"
"1090","마인크래프트"
"1091","프로토스"
"1092","마인크래프트"
"1093","GTA"
"1094","레이싱게임"
"1095","게임사, 게임사이..."
"1096","FPS, 슈팅게임"
"1097","인디게임"
"1098","캐릭터"
"1099","포켓몬"
"1100","아이템"
"1101","건즈더듀얼"
"1102","워크래프트"
"1103","롤플레잉게임"
"1104","액션, 어드벤처..."
"1105","게임 제작, 기획"
"1106","액션, 어드벤처..."
"1107","모바일게임"
"1108","피파시리즈"
"1109","롤플레잉게임"
"1110","오버워치"
"1111","FPS, 슈팅게임"
"1112","인디게임"
"1113","배틀그라운드"
"1114","모바일게임"
"1115","인디게임"
"1116","피파시리즈"
"1117","퀘스트"
"1118","시뮬레이션게임"
"1119","GTA"
"1120","심즈"
"1121","심즈"
"1122","인디게임"
"1123","퀘스트"
"1124","아스가르드"
"1125","게임사, 게임사이..."
"1126","메달오브아너"
"1127","리니지2"
"1128","롤플레잉게임"
"1129","거상실행"
"1130","게임사, 게임사이..."
"1131","레이싱게임"
"1132","인디게임"
"1133","시뮬레이션게임"
"1134","GTA"
"1135","모바일게임"
"1136","게임 제작, 기획"
"1137","지역"
"1138","카드게임"
"1139","콜오브듀티"
"1140","인디게임"
"1141","몬스터"
"1142","인디게임"
"1143","롤플레잉게임"
"1144","인디게임"
"1145","롤플레잉게임"
"1146","메달오브아너"
"1147","나이트엘프"
"1148","FPS, 슈팅게임"
"1149","거상실행"
"1150","게임사, 게임사이..."
"1151","게임사, 게임사이..."
"1152","비디오게임"
"1153","디아블로"
"1154","시뮬레이션게임"
"1155","게임리그, 게이머"
"1156","그란투리스모"
"1157","롤플레잉게임"
"1158","디아블로"
"1159","모바일게임"
"1160","몬스터"
"1161","액션, 어드벤처..."
"1162","엑스박스"
"1163","카드게임"
"1164","파이널판타지"
"1165","롤플레잉게임"
"1166","레이싱게임"
"1167","모바일게임"
"1168","닌텐도DS"
"1169","메달오브아너"
"1170","몬스터"
"1171","액션, 어드벤처..."
"1172","인디게임"
"1173","인디게임"
"1174","오버워치"
"1175","캐릭터"
"1176","모바일게임"
"1177","시뮬레이션게임"
"1178","커맨드앤컨커"
"1179","아이템"
"1180","모바일게임"
"1181","롤플레잉게임"
"1182","모바일게임"
"1183","몬스터"
"1184","리그오브레전드"
"1185","리니지2"
"1186","노바"
"1187","오버워치"
"1188","GTA"
"1189","모바일게임"
"1190","닌텐도Wii"
"1191","롤플레잉게임"
"1192","킹오브파이터즈"
"1193","게임 제작, 기획"
"1194","인디게임"
"1195","보드, 퍼즐 게임"
"1196","포켓몬"
"1197","용병"
"1198","모바일게임"
"1199","프리스타일"
"1200","액션, 어드벤처..."
"1201","오버워치"
"1202","리그오브레전드"
"1203","인디게임"
"1204","모바일게임"
"1205","모바일게임"
"1206","게임사, 게임사이..."
"1207","테트리스"
"1208","몬스터"
"1209","마인크래프트"
"1210","레인보우식스"
"1211","게임 제작, 기획"
"1212","거상실행"
"1213","게임사, 게임사이..."
"1214","인디게임"
"1215","몬스터"
"1216","시티레이서"
"1217","보드, 퍼즐 게임"
"1218","철권"
"1219","지역"
"1220","퀘스트"
"1221","액션, 어드벤처..."
"1222","리그오브레전드"
"1223","포켓몬"
"1224","롤플레잉게임"
"1225","심즈"
